seed,split_seed,split_hash,best_epoch,best_val_auc,total_time_sec,param_total,param_trainable,param_frozen,youden_threshold,fpr10_threshold,test_youden_auc,test_youden_acc,test_youden_f1,test_youden_precision,test_youden_recall,test_youden_tpr,test_youden_tnr,test_youden_fpr,test_youden_fnr,test_youden_balanced_acc,test_youden_tn,test_youden_fp,test_youden_fn,test_youden_tp,test_fpr10_auc,test_fpr10_acc,test_fpr10_f1,test_fpr10_precision,test_fpr10_recall,test_fpr10_tpr,test_fpr10_tnr,test_fpr10_fpr,test_fpr10_fnr,test_fpr10_balanced_acc,test_fpr10_tn,test_fpr10_fp,test_fpr10_fn,test_fpr10_tp
44,41,777c93499fb76dda,42,0.9590322222222223,36383.25931978226,7293009,7292609,400,0.456787109375,0.513671875,0.9631984444444444,0.8743333333333333,0.880582831802344,0.8388654194327098,0.9266666666666666,0.9266666666666666,0.822,0.178,0.07333333333333333,0.8743333333333333,1233,267,110,1390,0.9631984444444444,0.8746666666666667,0.8702553485162181,0.902002861230329,0.8406666666666667,0.8406666666666667,0.9086666666666666,0.09133333333333334,0.15933333333333333,0.8746666666666667,1363,137,239,1261
45,41,777c93499fb76dda,43,0.9552724444444444,21675.092920780182,7293009,7292609,400,0.4931640625,0.50146484375,0.9578960000000001,0.871,0.869477234401349,0.879863481228669,0.8593333333333333,0.8593333333333333,0.8826666666666667,0.11733333333333333,0.14066666666666666,0.871,1324,176,211,1289,0.9578960000000001,0.8693333333333333,0.862937062937063,0.9073529411764706,0.8226666666666667,0.8226666666666667,0.916,0.084,0.17733333333333334,0.8693333333333333,1374,126,266,1234
36,41,777c93499fb76dda,45,0.9506668888888888,20638.899190425873,7293009,7292609,400,0.51220703125,0.5146484375,0.955376,0.8736666666666667,0.8703386931235032,0.8938861560084329,0.848,0.848,0.8993333333333333,0.10066666666666667,0.152,0.8736666666666666,1349,151,228,1272,0.955376,0.8746666666666667,0.8701657458563536,0.9025787965616046,0.84,0.84,0.9093333333333333,0.09066666666666667,0.16,0.8746666666666667,1364,136,240,1260
