fold_scheme,quantile_rule,retention_percent,mean_set_size,search_reduction_percent,empty_percent,decision_coverage_percent,conditional_false_exclusion_percent,matches_all_locked_3dp,summed_3dp_absolute_error
within_class_sorted_alternating,ceil_n,90.03999999999999,3.67722,26.455599999999997,3.428,96.572,6.763865302572171,False,0.17700000000000715
within_class_sorted_alternating,numpy_linear,90.03999999999999,3.67724,26.4552,3.428,96.572,6.763865302572171,False,0.17800000000000837
within_class_sorted_alternating,ceil_nplus1,90.044,3.678,26.44,3.4259999999999997,96.574,6.761654275477866,False,0.20399999999999174
within_class_sorted_alternating,numpy_higher,90.044,3.678,26.44,3.4259999999999997,96.574,6.761654275477866,False,0.20399999999999174
stratified_shuffle_seed42,ceil_nplus1,89.96600000000001,3.6755,26.490000000000002,3.418,96.58200000000001,6.850137706819069,False,0.2149999999999883
stratified_shuffle_seed42,numpy_higher,89.96600000000001,3.6755,26.490000000000002,3.418,96.58200000000001,6.850137706819069,False,0.2149999999999883
stratified_shuffle_seed42,numpy_linear,89.952,3.67436,26.5128,3.418,96.58200000000001,6.864633161458656,False,0.2679999999999878
stratified_shuffle_seed42,ceil_n,89.95,3.67432,26.513600000000004,3.418,96.58200000000001,6.8667039406928865,False,0.2729999999999806
stratified_no_shuffle,ceil_nplus1,89.88000000000001,3.66814,26.637199999999993,3.422,96.578,6.935326886040301,False,0.5319999999999978
stratified_no_shuffle,numpy_higher,89.88000000000001,3.66814,26.637199999999993,3.422,96.578,6.935326886040301,False,0.5319999999999978
within_class_sorted_halves,ceil_nplus1,89.88000000000001,3.66814,26.637199999999993,3.422,96.578,6.935326886040301,False,0.5319999999999978
within_class_sorted_halves,numpy_higher,89.88000000000001,3.66814,26.637199999999993,3.422,96.578,6.935326886040301,False,0.5319999999999978
stratified_no_shuffle,numpy_linear,89.858,3.66692,26.661599999999996,3.436,96.56400000000001,6.944617041547573,False,0.561999999999979
within_class_sorted_halves,numpy_linear,89.858,3.66692,26.661599999999996,3.436,96.56400000000001,6.944617041547573,False,0.561999999999979
stratified_no_shuffle,ceil_n,89.854,3.66684,26.663199999999996,3.438,96.562,6.946832087156437,False,0.5649999999999893
within_class_sorted_halves,ceil_n,89.854,3.66684,26.663199999999996,3.438,96.562,6.946832087156437,False,0.5649999999999893
