max_set_k,accepted_n,coverage_percent,conditional_retention_percent,conditional_false_exclusion_percent,mean_admitted_size,expected_accepted_n,count_status
1,3231,6.462,60.22903125967193,39.77096874032807,1.0,3231,PASS
2,7635,15.27,72.50818598559266,27.49181401440734,1.5768172888015717,7635,PASS
3,15173,30.346,82.08660119949911,17.913398800500886,2.2838594872470837,15173,PASS
4,31793,63.586,88.92208976818796,11.07791023181204,3.1809832353033687,31793,PASS
5,49153,98.30600000000001,92.83461843631112,7.165381563688882,3.8234288853172744,49153,PASS
