metric,observed,expected_rounded,absolute_difference,tolerance,status
top1_percent,35.465999999999994,35.466,7.105427357601002e-15,0.002,PASS
top2_percent,59.260000000000005,59.26,7.105427357601002e-15,0.002,PASS
top3_percent,77.50200000000001,77.502,1.4210854715202004e-14,0.002,PASS
retention_percent,91.262,91.262,0.0,0.002,PASS
mean_set_size,3.75866,3.759,0.00034000000000000696,0.002,PASS
unknown_percent,1.694,1.694,0.0,0.002,PASS
cover_rejection_percent,27.339999999999996,27.34,3.552713678800501e-15,0.002,PASS
search_reduction_percent,24.826800000000002,24.827,0.00019999999999953388,0.003,PASS
