target_algo,template_dimension,q_low_used,q_high_used,q05,q10,q25,q50,q75,q90,q95,mean,std,range_low,range_high
WOW,WOW,10,90,0.10988714471459395,0.6632032513618469,0.8627628684043884,1.8687920570373535,2.6754446029663086,2.690077781677246,2.6955652236938477,1.7008272232810657,0.9716724297820497,0.6632032513618469,2.690077781677246
WOW,S-UNIWARD,10,90,-1.4250843524932861,-0.9628461003303528,-0.5006077289581299,-0.03836939483880997,0.42386895418167114,0.8861072659492493,1.3483456373214722,0.023108310277263323,1.007228292802768,-0.9628461003303528,0.8861072659492493
WOW,HILL,10,90,-1.1933263838291168,-0.3411406308412552,0.562526285648346,0.7250798642635345,2.020370066165924,2.4449710845947266,2.45805025100708,1.0123147486075759,1.0282684445284391,-0.3411406308412552,2.4449710845947266
WOW,HUGO,10,90,-1.9009191989898682,-1.454186201095581,-0.5607202053070068,0.10937923192977905,0.7794786691665649,1.3378949165344238,1.5612614154815674,0.023904324252003183,0.9995989255237315,-1.454186201095581,1.3378949165344238
WOW,MiPOD,10,90,-1.3217322170734405,-0.4729964464902877,0.4566967189311981,0.5863167643547058,1.8203524947166443,2.2149441242218018,2.230815887451172,0.8599285148108999,0.9866375997694619,-0.4729964464902877,2.2149441242218018
S-UNIWARD,WOW,10,90,-0.9885238766670227,-0.9566467583179474,-0.2658190429210663,0.8499588370323181,1.4627220630645752,2.5164921760559085,2.6499282360076903,0.7590475412919186,1.1472240961945932,-0.9566467583179474,2.5164921760559085
S-UNIWARD,S-UNIWARD,10,90,-1.4250843524932861,-0.9628461003303528,-0.2694885730743408,-0.03836939483880997,0.42386895418167114,0.8861072659492493,1.3483456373214722,0.037283619130651154,1.0163337470187455,-0.9628461003303528,0.8861072659492493
S-UNIWARD,HILL,10,90,-1.2850124478340148,-1.1714248776435852,0.30141300708055496,0.5896185636520386,1.110910952091217,2.108840370178223,2.362760066986084,0.5762611806771407,1.0262596989625905,-1.1714248776435852,2.108840370178223
S-UNIWARD,HUGO,10,90,-1.9009191989898682,-1.454186201095581,-0.5607202053070068,0.10937923192977905,0.7794786691665649,1.226211667060852,1.5612614154815674,0.022489669821690768,0.9971509443230324,-1.454186201095581,1.226211667060852
S-UNIWARD,MiPOD,10,90,-1.311989998817444,-0.9488210439682007,0.44324973970651627,0.5272382497787476,1.4456006586551666,2.1659177303314214,2.225525379180908,0.7157548817683321,0.97891245959567,-0.9488210439682007,2.1659177303314214
HILL,WOW,10,90,-0.9951102077960968,-0.9809000492095947,-0.802101194858551,0.7786222100257874,1.0703706741333008,2.2931535243988037,2.638861894607544,0.5016912640219865,1.1548101644235824,-0.9809000492095947,2.2931535243988037
HILL,S-UNIWARD,10,90,-1.4250843524932861,-0.9628461003303528,-0.5006077289581299,-0.03836939483880997,0.42386895418167114,0.8861072659492493,1.3483456373214722,0.03497242660323779,0.9961378993630086,-0.9628461003303528,0.8861072659492493
HILL,HILL,10,90,-0.441825720667839,0.419497886300087,0.5746711492538452,0.890436053276062,2.2441147565841675,2.4468395709991455,2.45805025100708,1.1808619957746318,0.9509222668121963,0.419497886300087,2.4468395709991455
HILL,HUGO,10,90,-1.9009191989898682,-1.454186201095581,-0.5607202053070068,0.10937923192977905,0.7794786691665649,1.226211667060852,1.5612614154815674,0.02289917459230249,0.9972251110231087,-1.454186201095581,1.226211667060852
HILL,MiPOD,10,90,-1.303636646270752,-0.10913446024060246,0.4584602415561676,0.6074792146682739,1.8662044405937195,2.2184712886810303,2.2343430519104004,0.8930641341234247,0.964656486559225,-0.10913446024060246,2.2184712886810303
HUGO,WOW,10,90,-1.000163197517395,-0.993218183517456,-0.9485756456851959,0.437486857175827,0.8902000188827515,1.6545992612838767,2.4274127006530755,0.22290985040397693,1.094274741356526,-0.993218183517456,1.6545992612838767
HUGO,S-UNIWARD,10,90,-1.4250843524932861,-0.9628461003303528,-0.5006077289581299,-0.03836939483880997,0.42386895418167114,0.8861072659492493,1.3483456373214722,0.02988780575990677,1.0277948002196602,-0.9628461003303528,0.8861072659492493
HUGO,HILL,10,90,-1.3047374486923218,-1.2587040424346925,-0.3504360541701317,0.5784080028533936,0.9189296215772629,1.9986027956008914,2.3445430159568783,0.4369942500544712,1.0694278520499427,-1.2587040424346925,1.9986027956008914
HUGO,HUGO,10,90,-1.9009191989898682,-1.454186201095581,-0.5607202053070068,0.10937923192977905,0.7794786691665649,1.3378949165344238,1.5612614154815674,0.048065132619347424,0.9935924111434358,-1.454186201095581,1.3378949165344238
HUGO,MiPOD,10,90,-1.3307056069374084,-1.0238595962524415,0.42759832739830017,0.5104846060276031,1.4085663855075836,2.186727523803711,2.2290523052215576,0.6980740107412761,0.9960822890036077,-1.0238595962524415,2.186727523803711
MiPOD,WOW,10,90,-0.9978110730648041,-0.986247444152832,-0.8803542852401733,0.6839640140533447,0.9606220722198486,2.024269342422488,2.565878915786743,0.3751284368367245,1.1226165702281259,-0.986247444152832,2.024269342422488
MiPOD,S-UNIWARD,10,90,-1.4250843524932861,-0.9628461003303528,-0.5006077289581299,-0.03836939483880997,0.42386895418167114,0.8861072659492493,1.3483456373214722,0.0315826794008414,1.0075062026308659,-0.9628461003303528,0.8861072659492493
MiPOD,HILL,10,90,-1.2421801149845124,-0.8235696375370025,0.5389373600482941,0.6400662064552307,1.5640056431293488,2.388918161392212,2.4450645089149474,0.8492825966304615,1.0251493714629782,-0.8235696375370025,2.388918161392212
MiPOD,HUGO,10,90,-1.9009191989898682,-1.454186201095581,-0.5607202053070068,0.10937923192977905,0.7794786691665649,1.226211667060852,1.5612614154815674,0.023010858108599982,0.9956648752851821,-1.454186201095581,1.226211667060852
MiPOD,MiPOD,10,90,-1.2468452215194703,0.22214616090059286,0.4637508690357208,0.628641664981842,1.913819968700409,2.2219982147216797,2.2361066341400146,0.9313594887914757,0.9500415746032448,0.22214616090059286,2.2219982147216797
