algorithm,n,ranked_top1,ranked_top2,ranked_top3,decision_top1,candidate_retention,unknown_rate,single_rate,multi_rate,mean_candidate_size,mean_true_rank
WOW,1500,0.8186666666666667,0.8553333333333333,0.896,0.68,0.7466666666666667,0.17266666666666666,0.084,0.7433333333333333,3.29,1.5126666666666666
S-UNIWARD,1500,0.2,0.836,0.9333333333333333,0.17733333333333334,0.8,0.16333333333333333,0.03266666666666666,0.804,3.46,2.0366666666666666
HILL,1500,0.188,0.43866666666666665,0.9086666666666666,0.122,0.7586666666666667,0.158,0.02266666666666667,0.8193333333333334,3.556,2.488
HUGO,1500,0.26,0.3626666666666667,0.52,0.20333333333333334,0.7886666666666666,0.16333333333333333,0.027333333333333334,0.8093333333333333,3.3786666666666667,2.9486666666666665
MiPOD,1500,0.03866666666666667,0.188,0.37133333333333335,0.02,0.7566666666666667,0.15933333333333333,0.018,0.8226666666666667,3.537333333333333,3.756
