target_algo,template_dimension,q_low_used,q_high_used,q05,q10,q25,q50,q75,q90,q95,mean,std,range_low,range_high
WOW,WOW,10,90,0.7453154072290847,1.4059224056035051,2.0369756094773503,3.5342049123540726,3.5532345483901797,3.558373681163467,3.5605128177865573,2.862793386984614,1.0582656256014953,1.4059224056035051,3.558373681163467
WOW,S-UNIWARD,10,90,-0.6811113900164767,-0.13873340583102672,1.1417593979537868,2.4070502161313376,3.0480661295705023,3.0694938717786875,3.073936110512996,1.9146311395468407,1.23198352520411,-0.13873340583102672,3.0694938717786875
WOW,HILL,10,90,-0.6181336450237762,0.25933410879416663,1.0334040570390262,2.3412357227168012,2.807711858304319,2.8205531763496055,2.825948448750057,1.8132280508059382,1.1045281847524928,0.25933410879416663,2.8205531763496055
WOW,HUGO,10,90,-0.7010078243212741,-0.6948350306816269,-0.6753282911634557,0.6439342101565554,1.5910766715344007,2.8827057233360844,2.952204936595693,0.6684083597487787,1.3452175147259648,-0.6948350306816269,2.8827057233360844
WOW,MiPOD,10,90,-0.6129233420479688,0.7224605532150371,0.9448367808914716,2.2118846444592597,2.548296871780319,2.562209258479029,2.5656522435254296,1.714352072358221,0.9716431029026953,0.7224605532150371,2.562209258479029
S-UNIWARD,WOW,10,90,-0.6160311052963703,-0.6042504793887266,-0.4094228429372069,1.4909684154856553,3.2629666119818417,3.532859747351192,3.5507760269582502,1.453191485641615,1.6107566040049095,-0.6042504793887266,3.532859747351192
S-UNIWARD,S-UNIWARD,10,90,0.2639776711921637,0.8870130163704629,1.2084360706174904,2.7357598849341827,3.053602470343656,3.067367565540549,3.071532022767149,2.161680714615138,1.0317424523458996,0.8870130163704629,3.067367565540549
S-UNIWARD,HILL,10,90,-0.8156786840585135,-0.7747528583760788,0.20767900576259685,1.1253737325205866,2.553213981959571,2.799384532668221,2.820077898210082,1.2097723888149154,1.2612680188366925,-0.7747528583760788,2.799384532668221
S-UNIWARD,HUGO,10,90,-0.700471117381839,-0.695498346089559,-0.6760757993153277,0.31157802141317115,1.5545626434120843,2.7847591672817833,2.9221417918429626,0.6191768431116179,1.3298986879964922,-0.695498346089559,2.7847591672817833
S-UNIWARD,MiPOD,10,90,-0.813549430303365,-0.579156608946823,0.8618469245468454,1.4984527065595055,2.4702941343485296,2.547622214890062,2.5626680858273176,1.392035047428465,1.092673058334851,-0.579156608946823,2.547622214890062
HILL,WOW,10,90,-0.6211645768460894,-0.6163532934700207,-0.5944779006775938,0.4272467225071504,2.061444250756663,3.4997579895180255,3.5418547288821505,0.8991981811917847,1.5666143934371524,-0.6163532934700207,3.4997579895180255
HILL,S-UNIWARD,10,90,-0.7943300228385672,-0.7754118351018786,-0.4317142470479762,1.1517467608318275,2.4504466350916823,3.0487596720710117,3.068477190780784,1.0811553192421046,1.3926173227358207,-0.7754118351018786,3.0487596720710117
HILL,HILL,10,90,0.11715966926217239,0.8659069474587755,1.0834073641295516,2.5848106272022306,2.8093804313228268,2.8193205033433477,2.823429932969291,1.9789019055948407,0.9735468206580186,0.8659069474587755,2.8193205033433477
HILL,HUGO,10,90,-0.7008317904344853,-0.6964815989269016,-0.6843267170004739,-0.3439641063920508,1.2280507307777775,2.52240161771735,2.875521341487588,0.39185024360782245,1.2354731908095373,-0.6964815989269016,2.52240161771735
HILL,MiPOD,10,90,-0.4350410506203958,0.6874264750683412,0.9375605169120578,2.121886369809187,2.5398828042242827,2.5627746951273265,2.5661471874016395,1.6966498475536713,0.9468202930889885,0.6874264750683412,2.5627746951273265
HUGO,WOW,10,90,-0.6225985073700149,-0.6196897181672616,-0.6118536075432353,-0.49262076848712305,1.433421376131528,2.652199793446201,3.4254991082342006,0.39372944381039776,1.3345059901701892,-0.6196897181672616,2.652199793446201
