algorithm,n,ranked_top1,ranked_top2,ranked_top3,decision_top1,candidate_retention,unknown_rate,single_rate,multi_rate,mean_candidate_size,mean_true_rank
WOW,1500,0.7013333333333334,0.7326666666666667,0.8593333333333333,0.7013333333333334,0.854,0.016666666666666666,0.058666666666666666,0.9246666666666666,3.7973333333333334,1.7913333333333334
S-UNIWARD,1500,0.37,0.7593333333333333,0.9266666666666666,0.364,0.9466666666666667,0.015333333333333332,0.10866666666666666,0.876,3.446,1.956
HILL,1500,0.2906666666666667,0.5566666666666666,0.7973333333333333,0.2813333333333333,0.91,0.024,0.042,0.934,3.3766666666666665,2.384
HUGO,1500,0.6033333333333334,0.6853333333333333,0.764,0.5893333333333334,0.8733333333333333,0.016666666666666666,0.156,0.8273333333333334,3.188,2.0486666666666666
MiPOD,1500,0.17533333333333334,0.5586666666666666,0.7666666666666667,0.16666666666666666,0.936,0.029333333333333333,0.07066666666666667,0.9,3.3346666666666667,2.604
