set_size,n,share,retention,top1,top2,top3,mean_true_rank
0,153,0.0204,0.0,0.37254901960784315,0.5228758169934641,0.7254901960784313,2.477124183006536
1,654,0.0872,0.6666666666666666,0.6666666666666666,0.8012232415902141,0.8990825688073395,1.6529051987767585
2,999,0.1332,0.8528528528528528,0.5815815815815816,0.8528528528528528,0.92992992992993,1.6616616616616617
3,1319,0.17586666666666667,0.9484457922668689,0.42077331311599697,0.6974981046247157,0.9484457922668689,1.951478392721759
4,2770,0.36933333333333335,0.9516245487364621,0.43790613718411553,0.6628158844765343,0.8191335740072202,2.128519855595668
5,1605,0.214,1.0,0.22990654205607478,0.45295950155763237,0.6373831775700934,2.857320872274143
