true_algorithm_norm,WOW,S-UNIWARD,HUGO,MiPOD,HILL
WOW,0.8249012783549591,0.7004584369993374,0.3774400725405382,0.7464781796027763,0.7332034336575964
S-UNIWARD,0.48133993976672046,0.7582607021343004,0.36373688114186076,0.6600658305750056,0.5720866234127874
HUGO,0.25192283501524027,0.48922891776167965,0.8012863771881128,0.5954270027734445,0.45484369488903403
MiPOD,0.3692741367529169,0.5039975884472783,0.35251227987459255,0.7547029918222965,0.6826552586877596
HILL,0.3804140868500009,0.5149715781396941,0.3073764147770872,0.7442822849487529,0.7674478041130295
