algorithm,n,ranked_top1,ranked_top2,ranked_top3,decision_top1,candidate_retention,unknown_rate,single_rate,multi_rate,mean_candidate_size,mean_true_rank
WOW,1500,0.7206666666666667,0.752,0.874,0.7206666666666667,0.8426666666666667,0.016,0.058666666666666666,0.9253333333333333,3.6813333333333333,1.7353333333333334
S-UNIWARD,1500,0.37533333333333335,0.7813333333333333,0.93,0.37266666666666665,0.9486666666666667,0.014,0.11066666666666666,0.8753333333333333,3.4433333333333334,1.9226666666666667
HILL,1500,0.24,0.5713333333333334,0.816,0.232,0.9033333333333333,0.021333333333333333,0.04666666666666667,0.932,3.354,2.3966666666666665
HUGO,1500,0.6126666666666667,0.6813333333333333,0.7626666666666667,0.6006666666666667,0.8773333333333333,0.014666666666666666,0.17466666666666666,0.8106666666666666,3.13,2.044
MiPOD,1500,0.23866666666666667,0.536,0.7766666666666666,0.23133333333333334,0.9446666666666667,0.025333333333333333,0.06333333333333334,0.9113333333333333,3.308666666666667,2.5513333333333335
