algorithm,n,ranked_top1,ranked_top2,ranked_top3,decision_top1,candidate_retention,unknown_rate,single_rate,multi_rate,mean_candidate_size,mean_true_rank
WOW,10000,0.8651,0.8946,0.9197,0.819,0.872,0.0635,0.0563,0.8802,4.0883,1.3805
S-UNIWARD,10000,0.1416,0.9325,0.9749,0.1323,0.9174,0.0635,0.0256,0.9109,4.1806,1.9542
HILL,10000,0.06,0.2484,0.9153,0.0477,0.8726,0.0612,0.0157,0.9231,4.2536,2.8077
HUGO,10000,0.149,0.2176,0.3689,0.123,0.894,0.0627,0.0155,0.9218,4.1566,3.359
MiPOD,10000,0.0125,0.0642,0.1786,0.0078,0.8745,0.0613,0.0158,0.9229,4.2387,4.2905
