algorithm,n,ranked_top1,ranked_top2,ranked_top3,decision_top1,candidate_retention,unknown_rate,single_rate,multi_rate,mean_candidate_size,mean_true_rank
WOW,10000,0.7478,0.7811,0.8728,0.7476,0.8686,0.0128,0.0486,0.9386,3.9292,1.6832
S-UNIWARD,10000,0.2865,0.8247,0.9363,0.2812,0.9556,0.0147,0.0788,0.9065,3.8322,1.9655
HILL,10000,0.1841,0.4311,0.8014,0.176,0.9131,0.0238,0.0322,0.944,3.7578,2.6175
HUGO,10000,0.4236,0.5376,0.6572,0.4151,0.8771,0.0125,0.1187,0.8688,3.5522,2.5014
MiPOD,10000,0.1313,0.3885,0.6074,0.1247,0.9487,0.0209,0.0448,0.9343,3.7219,3.064
